batch_size,s_kv,topk,nblocks,num_waves,n_entries,total_pipeline_ns,stage_epilogue_o_ns,stage_exp_ns,stage_k_gather_ns,stage_p_load_ns,stage_q_load_ns,stage_q_smem2tmem_ns,stage_qk_mma_ns,stage_rescale_o_ns,stage_rowmax_ns,stage_sv_mma_ns,stage_v_gather_ns,stage_valid_check_ns
1,1024,1024,2,1,1128,98768.0,6224.0,19664.0,21312.0,3600.0,400.0,176.0,1696.0,3168.0,10080.0,912.0,21456.0,10080.0
1,4096,1024,2,1,1128,100256.0,6304.0,20400.0,20784.0,3648.0,304.0,176.0,1648.0,3120.0,10624.0,944.0,21728.0,10576.0
1,8192,1024,2,1,1128,100368.0,5536.0,20176.0,21392.0,3456.0,304.0,176.0,1536.0,2896.0,10640.0,880.0,22608.0,10768.0
1,16384,1024,2,1,1128,101280.0,5600.0,20544.0,21760.0,3344.0,368.0,176.0,1728.0,3136.0,10784.0,912.0,22320.0,10608.0
1,32768,1024,2,1,1128,99328.0,5568.0,20128.0,21104.0,3536.0,416.0,192.0,1712.0,2992.0,10784.0,848.0,21616.0,10432.0
1,65536,1024,2,1,1128,97376.0,5664.0,19984.0,21248.0,3600.0,304.0,176.0,1696.0,3152.0,10400.0,992.0,20368.0,9792.0
1,131072,1024,2,1,1128,98256.0,5648.0,20352.0,21632.0,3072.0,320.0,176.0,1632.0,3760.0,10048.0,832.0,21008.0,9776.0
32,1024,1024,64,1,36096,105956.0,5185.5,21791.0,23697.5,3098.5,841.5,173.0,1749.5,3904.5,10644.0,947.0,23177.5,10746.5
32,4096,1024,64,1,36096,105930.5,5255.0,21756.0,23574.5,3072.5,829.0,172.5,1753.5,3900.5,10767.5,951.0,23128.0,10770.5
32,8192,1024,64,1,36096,105064.0,5122.0,21569.5,23435.5,3047.5,858.5,170.0,1753.0,3857.5,10608.5,959.5,22968.5,10714.0
32,16384,1024,64,1,36096,105421.0,5281.0,21539.0,23564.5,3078.0,864.0,168.0,1753.0,3851.0,10570.0,945.0,23078.0,10729.5
32,32768,1024,64,1,36096,104891.0,5328.5,21553.0,23331.0,3027.5,835.0,170.5,1747.0,3843.0,10565.0,937.0,22937.5,10616.0
32,65536,1024,64,1,36096,104674.0,5097.0,21443.5,23349.5,3068.5,856.5,169.5,1734.5,3795.0,10576.0,939.5,22976.0,10668.5
32,131072,1024,64,1,36096,104816.5,5216.5,21541.5,23373.5,3015.0,839.5,171.5,1722.5,3877.0,10638.5,927.0,22888.5,10605.5
64,1024,1024,128,1,72192,115647.25,5436.75,23608.0,25412.5,3369.0,1324.5,165.5,1949.0,4250.5,11439.75,1034.75,25193.25,12463.75
64,4096,1024,128,1,72192,115094.0,5295.0,23522.5,25212.5,3345.75,1303.25,169.25,1936.75,4242.5,11503.0,1024.75,25129.0,12409.75
64,8192,1024,128,1,72192,115086.25,5336.25,23548.0,25281.0,3319.25,1297.75,171.0,1939.75,4215.0,11399.0,1016.0,25177.5,12385.75
64,16384,1024,128,1,72192,114780.0,5297.75,23480.25,25214.75,3349.25,1244.0,164.25,1947.0,4236.5,11464.25,1019.75,25084.75,12277.5
64,32768,1024,128,1,72192,112359.0,5229.5,22952.0,24609.25,3245.25,1257.25,168.0,1904.5,4147.75,11160.5,994.25,24592.25,12098.5
64,65536,1024,128,1,72192,115221.25,5306.75,23569.0,25196.75,3370.5,1302.0,170.5,1941.0,4213.5,11510.75,1021.75,25174.0,12444.75
64,131072,1024,128,1,72192,114546.75,5278.25,23375.0,25050.5,3324.5,1289.0,169.5,1945.75,4215.75,11442.75,1016.0,25078.0,12361.75
74,1024,1024,148,1,83472,117443.24,5361.73,24122.81,25505.3,3414.05,1326.49,169.73,2020.11,4337.08,11683.89,1036.76,25759.57,12705.73
74,4096,1024,148,1,83472,118213.41,5292.11,24227.46,25689.95,3422.49,1439.78,168.65,2019.24,4356.76,11759.57,1049.08,25798.49,12989.84
74,8192,1024,148,1,83472,118777.08,5385.95,24357.41,25718.27,3426.59,1424.86,167.14,2038.92,4384.43,11741.84,1053.41,26102.92,12975.35
74,16384,1024,148,1,83472,118279.14,5320.43,24173.62,25621.62,3473.95,1451.03,165.62,2035.24,4337.73,11739.68,1045.62,25897.3,13017.3
74,32768,1024,148,1,83472,117677.41,5360.86,24123.68,25610.38,3394.16,1318.05,166.05,2011.68,4351.57,11684.54,1041.08,25919.14,12696.22
