Format,ABLayout,CTAGroup,M,N,K,Latency,a (II),b,Overhead
BF16,SS,1,128,112,16,192,60.01,144.3,12.3
BF16,SS,1,128,128,16,200,64.02,148.1,12.1
BF16,SS,1,128,256,16,264,128.0,148.4,12.4
BF16,SS,1,128,64,16,168,48.02,132.1,12.1
BF16,SS,1,128,80,16,176,52.02,136.1,12.1
BF16,SS,1,128,96,16,184,56.02,140.1,12.1
BF16,SS,1,64,112,16,176,56.02,132.1,12.1
BF16,SS,1,64,128,16,184,64.02,132.0,12.1
BF16,SS,1,64,256,16,248,128.0,132.4,12.4
BF16,SS,1,64,64,16,152,32.02,132.1,12.1
BF16,SS,1,64,80,16,160,40.02,132.1,12.1
BF16,SS,1,64,96,16,168,48.02,132.1,12.1
BF16,SS,2,128,112,16,191,30.02,175.2,14.2
BF16,SS,2,128,128,16,197,32.01,177.3,12.3
BF16,SS,2,128,256,16,229,64.02,177.0,12.1
BF16,SS,2,128,64,16,173,25.02,161.3,13.3
BF16,SS,2,128,80,16,179,27.02,165.1,13.1
BF16,SS,2,128,96,16,185,29.02,169.1,13.1
BF16,SS,2,256,112,16,226,56.02,182.1,12.1
BF16,SS,2,256,128,16,234,64.03,182.0,12.1
BF16,SS,2,256,256,16,298,128.03,182.0,12.0
BF16,SS,2,256,64,16,202,43.02,170.1,11.1
BF16,SS,2,256,80,16,210,45.34,176.7,12.1
BF16,SS,2,256,96,16,218,49.36,178.8,10.1
BF16,TS,1,128,112,16,160,56.02,116.1,12.1
BF16,TS,1,128,128,16,168,64.02,116.3,12.3
BF16,TS,1,128,256,16,232,128.03,116.0,12.0
BF16,TS,1,128,64,16,136,32.02,116.1,12.1
BF16,TS,1,128,80,16,144,40.02,116.1,12.1
BF16,TS,1,128,96,16,152,48.02,116.1,12.1
BF16,TS,1,64,112,16,160,56.02,116.1,12.1
BF16,TS,1,64,128,16,168,64.03,116.0,12.1
BF16,TS,1,64,256,16,232,128.03,116.0,12.0
BF16,TS,1,64,64,16,136,32.02,116.1,12.1
BF16,TS,1,64,80,16,144,40.02,116.1,12.1
BF16,TS,1,64,96,16,152,48.02,116.1,12.1
BF16,TS,2,128,112,16,174,28.02,158.1,12.1
BF16,TS,2,128,128,16,178,32.02,158.1,12.1
BF16,TS,2,128,256,16,210,64.02,158.1,12.1
BF16,TS,2,128,64,16,162,18.02,154.3,10.3
BF16,TS,2,128,80,16,166,20.02,158.1,12.1
BF16,TS,2,128,96,16,170,24.02,158.1,12.1
BF16,TS,2,256,112,16,194,56.02,150.1,12.1
BF16,TS,2,256,128,16,202,64.02,150.3,12.3
BF16,TS,2,256,256,16,266,128.02,150.1,12.1
BF16,TS,2,256,64,16,170,32.01,150.2,12.3
BF16,TS,2,256,80,16,178,40.02,150.1,12.1
BF16,TS,2,256,96,16,186,48.02,150.1,12.1
E4M3,SS,1,128,112,32,192,60.01,144.3,12.3
E4M3,SS,1,128,128,32,200,64.02,148.4,12.4
E4M3,SS,1,128,256,32,264,128.01,147.6,11.6
E4M3,SS,1,128,64,32,168,48.02,132.1,12.1
E4M3,SS,1,128,80,32,176,52.02,136.1,12.1
E4M3,SS,1,128,96,32,184,56.02,140.1,12.1
E4M3,SS,1,64,112,32,176,56.02,132.0,12.1
E4M3,SS,1,64,128,32,184,64.02,132.0,12.0
E4M3,SS,1,64,256,32,248,128.01,131.5,11.5
E4M3,SS,1,64,64,32,152,32.02,132.4,12.5
E4M3,SS,1,64,80,32,160,40.02,132.0,12.1
E4M3,SS,1,64,96,32,168,48.02,132.1,12.1
E4M3,SS,2,128,112,32,191,30.02,175.6,14.6
E4M3,SS,2,128,128,32,197,32.01,177.7,12.8
E4M3,SS,2,128,256,32,229,64.02,177.5,12.5
E4M3,SS,2,128,64,32,173,25.02,161.0,13.0
E4M3,SS,2,128,80,32,179,27.02,165.5,13.5
E4M3,SS,2,128,96,32,185,29.02,169.5,13.5
E4M3,SS,2,256,112,32,226,56.02,182.5,12.5
E4M3,SS,2,256,128,32,234,64.02,181.9,11.9
E4M3,SS,2,256,256,32,298,128.02,182.5,12.5
E4M3,SS,2,256,64,32,202,43.02,170.5,11.5
E4M3,SS,2,256,80,32,210,45.35,176.0,11.4
E4M3,SS,2,256,96,32,218,49.35,179.8,11.1
E4M3,TS,1,128,112,32,160,56.02,116.2,12.2
E4M3,TS,1,128,128,32,168,64.02,115.9,11.9
E4M3,TS,1,128,256,32,232,128.02,116.2,12.2
E4M3,TS,1,128,64,32,136,32.02,116.2,12.2
E4M3,TS,1,128,80,32,144,40.02,116.2,12.2
E4M3,TS,1,128,96,32,152,48.02,116.2,12.2
E4M3,TS,1,64,112,32,160,56.02,116.0,12.0
E4M3,TS,1,64,128,32,168,64.02,115.9,11.9
E4M3,TS,1,64,256,32,232,128.02,116.0,12.0
E4M3,TS,1,64,64,32,136,32.02,116.5,12.5
E4M3,TS,1,64,80,32,144,40.02,116.0,12.0
E4M3,TS,1,64,96,32,152,48.02,116.0,12.0
