Format,ABLayout,CTAGroup,M,N,K,MedianCycles
BF16,SS,1,64,64,16,152
BF16,SS,1,64,80,16,160
BF16,SS,1,64,96,16,168
BF16,SS,1,64,112,16,176
BF16,SS,1,64,128,16,184
BF16,SS,1,64,256,16,248
BF16,SS,1,128,64,16,168
BF16,SS,1,128,80,16,176
BF16,SS,1,128,96,16,184
BF16,SS,1,128,112,16,192
BF16,SS,1,128,128,16,200
BF16,SS,1,128,256,16,264
BF16,SS,2,128,64,16,173
BF16,SS,2,128,80,16,179
BF16,SS,2,128,96,16,185
BF16,SS,2,128,112,16,191
BF16,SS,2,128,128,16,197
BF16,SS,2,128,256,16,229
BF16,SS,2,256,64,16,202
BF16,SS,2,256,80,16,210
BF16,SS,2,256,96,16,218
BF16,SS,2,256,112,16,226
BF16,SS,2,256,128,16,234
BF16,SS,2,256,256,16,298
BF16,TS,1,64,64,16,136
BF16,TS,1,64,80,16,144
BF16,TS,1,64,96,16,152
BF16,TS,1,64,112,16,160
BF16,TS,1,64,128,16,168
BF16,TS,1,64,256,16,232
BF16,TS,1,128,64,16,136
BF16,TS,1,128,80,16,144
BF16,TS,1,128,96,16,152
BF16,TS,1,128,112,16,160
BF16,TS,1,128,128,16,168
BF16,TS,1,128,256,16,232
BF16,TS,2,128,64,16,162
BF16,TS,2,128,80,16,166
BF16,TS,2,128,96,16,170
BF16,TS,2,128,112,16,174
BF16,TS,2,128,128,16,178
BF16,TS,2,128,256,16,210
BF16,TS,2,256,64,16,170
BF16,TS,2,256,80,16,178
BF16,TS,2,256,96,16,186
BF16,TS,2,256,112,16,194
BF16,TS,2,256,128,16,202
BF16,TS,2,256,256,16,266
E4M3,SS,1,64,64,32,152
E4M3,SS,1,64,80,32,160
E4M3,SS,1,64,96,32,168
E4M3,SS,1,64,112,32,176
E4M3,SS,1,64,128,32,184
E4M3,SS,1,64,256,32,248
E4M3,SS,1,128,64,32,168
E4M3,SS,1,128,80,32,176
E4M3,SS,1,128,96,32,184
E4M3,SS,1,128,112,32,192
E4M3,SS,1,128,128,32,200
E4M3,SS,1,128,256,32,264
E4M3,SS,2,128,64,32,173
E4M3,SS,2,128,80,32,179
E4M3,SS,2,128,96,32,185
E4M3,SS,2,128,112,32,191
E4M3,SS,2,128,128,32,197
E4M3,SS,2,128,256,32,229
E4M3,SS,2,256,64,32,202
E4M3,SS,2,256,80,32,210
E4M3,SS,2,256,96,32,218
E4M3,SS,2,256,112,32,226
E4M3,SS,2,256,128,32,234
E4M3,SS,2,256,256,32,298
E4M3,TS,1,64,64,32,136
E4M3,TS,1,64,80,32,144
E4M3,TS,1,64,96,32,152
E4M3,TS,1,64,112,32,160
E4M3,TS,1,64,128,32,168
E4M3,TS,1,64,256,32,232
E4M3,TS,1,128,64,32,136
E4M3,TS,1,128,80,32,144
E4M3,TS,1,128,96,32,152
E4M3,TS,1,128,112,32,160
E4M3,TS,1,128,128,32,168
E4M3,TS,1,128,256,32,232
E4M3,TS,2,128,64,32,162
