Format,ABLayout,CTAGroup,M,N,K,Latency,InitiationInterval,SaturatedPipelineDepth
BF16,SS,1,128,112,16,192,60.6,4
BF16,SS,1,128,128,16,200,64.62,4
BF16,SS,1,128,256,16,264,128.61,3
BF16,SS,1,128,64,16,168,48.56,4
BF16,SS,1,128,80,16,176,52.57,4
BF16,SS,1,128,96,16,184,56.59,4
BF16,SS,1,64,112,16,176,56.55,4
BF16,SS,1,64,128,16,184,64.55,3
BF16,SS,1,64,256,16,248,128.55,2
BF16,SS,1,64,64,16,152,32.55,5
BF16,SS,1,64,80,16,160,40.55,4
BF16,SS,1,64,96,16,168,48.55,4
BF16,SS,2,128,112,16,191,30.71,7
BF16,SS,2,128,128,16,197,32.71,7
BF16,SS,2,128,256,16,229,64.73,4
BF16,SS,2,128,64,16,173,25.67,7
BF16,SS,2,128,80,16,179,27.68,7
BF16,SS,2,128,96,16,185,29.7,7
BF16,SS,2,256,112,16,226,56.75,4
BF16,SS,2,256,128,16,234,64.75,4
BF16,SS,2,256,256,16,298,128.75,3
BF16,SS,2,256,64,16,202,43.7,5
BF16,SS,2,256,80,16,210,46.06,5
BF16,SS,2,256,96,16,218,50.07,5
BF16,TS,1,128,112,16,160,56.49,3
BF16,TS,1,128,128,16,168,64.49,3
BF16,TS,1,128,256,16,232,128.49,2
BF16,TS,1,128,64,16,136,32.49,5
BF16,TS,1,128,80,16,144,40.49,4
BF16,TS,1,128,96,16,152,48.49,4
BF16,TS,1,64,112,16,160,56.49,3
BF16,TS,1,64,128,16,168,64.49,3
BF16,TS,1,64,256,16,232,128.49,2
BF16,TS,1,64,64,16,136,32.49,5
BF16,TS,1,64,80,16,144,40.49,4
BF16,TS,1,64,96,16,152,48.49,4
BF16,TS,2,128,112,16,174,28.66,7
BF16,TS,2,128,128,16,178,32.65,6
BF16,TS,2,128,256,16,210,64.65,4
BF16,TS,2,128,64,16,162,18.64,9
BF16,TS,2,128,80,16,166,20.66,9
BF16,TS,2,128,96,16,170,24.66,7
BF16,TS,2,256,112,16,194,56.63,4
BF16,TS,2,256,128,16,202,64.63,4
BF16,TS,2,256,256,16,266,128.62,3
BF16,TS,2,256,64,16,170,32.61,6
BF16,TS,2,256,80,16,178,40.63,5
BF16,TS,2,256,96,16,186,48.63,4
E4M3,SS,1,128,112,32,192,60.3,4
E4M3,SS,1,128,128,32,200,64.31,4
E4M3,SS,1,128,256,32,264,128.31,3
E4M3,SS,1,128,64,32,168,48.28,4
E4M3,SS,1,128,80,32,176,52.28,4
E4M3,SS,1,128,96,32,184,56.29,4
E4M3,SS,1,64,112,32,176,56.28,4
E4M3,SS,1,64,128,32,184,64.28,3
E4M3,SS,1,64,256,32,248,128.28,2
E4M3,SS,1,64,64,32,152,32.28,5
E4M3,SS,1,64,80,32,160,40.28,4
E4M3,SS,1,64,96,32,168,48.28,4
E4M3,SS,2,128,112,32,191,30.36,7
E4M3,SS,2,128,128,32,197,32.37,7
E4M3,SS,2,128,256,32,229,64.36,4
E4M3,SS,2,128,64,32,173,25.33,7
E4M3,SS,2,128,80,32,179,27.34,7
E4M3,SS,2,128,96,32,185,29.35,7
E4M3,SS,2,256,112,32,226,56.37,5
E4M3,SS,2,256,128,32,234,64.37,4
E4M3,SS,2,256,256,32,298,128.37,3
E4M3,SS,2,256,64,32,202,43.35,5
E4M3,SS,2,256,80,32,210,45.69,5
E4M3,SS,2,256,96,32,218,49.7,5
E4M3,TS,1,128,112,32,160,56.25,3
E4M3,TS,1,128,128,32,168,64.25,3
E4M3,TS,1,128,256,32,232,128.25,2
E4M3,TS,1,128,64,32,136,32.25,5
E4M3,TS,1,128,80,32,144,40.25,4
E4M3,TS,1,128,96,32,152,48.25,4
E4M3,TS,1,64,112,32,160,56.25,3
E4M3,TS,1,64,128,32,168,64.25,3
E4M3,TS,1,64,256,32,232,128.25,2
E4M3,TS,1,64,64,32,136,32.25,5
E4M3,TS,1,64,80,32,144,40.25,4
E4M3,TS,1,64,96,32,152,48.25,4
E4M3,TS,2,128,112,32,174,28.33,7
E4M3,TS,2,128,128,32,178,32.33,6
E4M3,TS,2,128,256,32,210,64.33,4
E4M3,TS,2,128,64,32,162,18.32,9
E4M3,TS,2,128,80,32,166,20.33,9
E4M3,TS,2,128,96,32,170,24.33,7
E4M3,TS,2,256,112,32,194,56.31,4
E4M3,TS,2,256,128,32,202,64.31,4
E4M3,TS,2,256,256,32,266,128.31,3
E4M3,TS,2,256,64,32,170,32.31,6
E4M3,TS,2,256,80,32,178,40.31,5
E4M3,TS,2,256,96,32,186,48.31,4
F4,SS,1,128,112,64,192,60.18,4
F4,SS,1,128,128,64,200,64.18,4
F4,SS,1,128,256,64,264,128.18,3
F4,SS,1,128,64,64,168,48.17,4
F4,SS,1,128,80,64,176,52.17,4
F4,SS,1,128,96,64,184,56.17,4
F4,SS,1,64,112,64,176,56.16,4
F4,SS,1,64,128,64,184,64.17,3
F4,SS,1,64,256,64,248,128.16,2
F4,SS,1,64,64,64,152,32.17,5
F4,SS,1,64,80,64,160,40.16,4
F4,SS,1,64,96,64,168,48.16,4
F4,SS,2,128,112,64,191,30.21,7
F4,SS,2,128,128,64,197,32.21,7
F4,SS,2,128,256,64,229,64.21,4
F4,SS,2,128,64,64,173,25.19,7
F4,SS,2,128,80,64,179,27.19,7
F4,SS,2,128,96,64,185,29.2,7
F4,SS,2,256,112,64,226,56.21,5
F4,SS,2,256,128,64,234,64.21,4
F4,SS,2,256,256,64,298,128.21,3
F4,SS,2,256,64,64,202,43.2,5
F4,SS,2,256,80,64,210,45.54,5
F4,SS,2,256,96,64,218,49.54,5
F4,TS,1,128,112,64,160,56.15,3
F4,TS,1,128,128,64,168,64.15,3
F4,TS,1,128,256,64,232,128.15,2
F4,TS,1,128,64,64,136,32.15,5
F4,TS,1,128,80,64,144,40.15,4
F4,TS,1,128,96,64,152,48.15,4
F4,TS,1,64,112,64,160,56.15,3
F4,TS,1,64,128,64,168,64.15,3
F4,TS,1,64,256,64,232,128.15,2
F4,TS,1,64,64,64,136,32.15,5
F4,TS,1,64,80,64,144,40.15,4
F4,TS,1,64,96,64,152,48.15,4
F4,TS,2,128,112,64,174,28.19,7
F4,TS,2,128,128,64,178,32.19,6
F4,TS,2,128,256,64,210,64.19,4
F4,TS,2,128,64,64,162,18.18,9
F4,TS,2,128,80,64,166,20.19,9
F4,TS,2,128,96,64,170,24.19,8
F4,TS,2,256,112,64,194,56.18,4
F4,TS,2,256,128,64,202,64.18,4
F4,TS,2,256,256,64,266,128.18,3
F4,TS,2,256,64,64,170,32.18,6
F4,TS,2,256,80,64,178,40.18,5
F4,TS,2,256,96,64,186,48.18,4
MXF4,SS,1,128,112,64,193,60.18,4
MXF4,SS,1,128,128,64,201,64.18,4
MXF4,SS,1,128,256,64,265,128.18,3
MXF4,SS,1,128,64,64,169,48.17,4
MXF4,SS,1,128,80,64,177,52.17,4
MXF4,SS,1,128,96,64,185,56.18,4
MXF4,SS,2,128,112,64,194,30.21,7
MXF4,SS,2,128,128,64,200,32.21,7
MXF4,SS,2,128,256,64,232,64.21,4
MXF4,SS,2,128,64,64,176,25.19,7
MXF4,SS,2,128,80,64,182,27.19,7
MXF4,SS,2,128,96,64,188,29.2,7
MXF4,SS,2,256,112,64,229,56.21,5
MXF4,SS,2,256,128,64,237,64.21,4
MXF4,SS,2,256,256,64,301,128.22,3
MXF4,SS,2,256,64,64,205,43.53,5
MXF4,SS,2,256,80,64,213,46.2,5
MXF4,SS,2,256,96,64,221,49.54,5
MXF4,TS,1,128,112,64,163,56.15,3
MXF4,TS,1,128,128,64,171,64.15,3
MXF4,TS,1,128,256,64,237,128.16,2
MXF4,TS,1,128,64,64,139,32.16,5
MXF4,TS,1,128,80,64,147,40.15,4
MXF4,TS,1,128,96,64,155,48.15,4
MXF4,TS,2,128,112,64,177,28.19,7
MXF4,TS,2,128,128,64,181,32.19,6
MXF4,TS,2,128,256,64,213,64.19,4
MXF4,TS,2,128,64,64,165,18.19,10
MXF4,TS,2,128,80,64,169,20.19,9
MXF4,TS,2,128,96,64,173,24.19,8
MXF4,TS,2,256,112,64,197,56.18,4
MXF4,TS,2,256,128,64,205,64.18,4
MXF4,TS,2,256,256,64,271,128.19,3
MXF4,TS,2,256,64,64,173,32.18,6
MXF4,TS,2,256,80,64,181,40.18,5
MXF4,TS,2,256,96,64,189,48.18,4
MXF8,SS,1,128,112,32,193,60.3,4
MXF8,SS,1,128,128,32,201,64.31,4
MXF8,SS,1,128,256,32,265,128.31,3
MXF8,SS,1,128,64,32,169,48.28,4
MXF8,SS,1,128,80,32,177,52.29,4
MXF8,SS,1,128,96,32,185,56.3,4
MXF8,SS,2,128,112,32,194,30.37,7
MXF8,SS,2,128,128,32,200,32.37,7
MXF8,SS,2,128,256,32,232,64.37,4
MXF8,SS,2,128,64,32,176,25.34,7
MXF8,SS,2,128,80,32,182,27.34,7
MXF8,SS,2,128,96,32,188,29.36,7
MXF8,SS,2,256,112,32,229,56.38,5
MXF8,SS,2,256,128,32,237,64.38,4
MXF8,SS,2,256,256,32,301,128.38,3
MXF8,SS,2,256,64,32,205,43.69,5
