Format,ABLayout,CTAGroup,M,N,K,PipelineDepth,Cycles,CyclesPerMMA,FLOPsPerCycle
BF16,SS,1,64,64,16,256,8333840,32.5541,4026.282403752523
BF16,SS,1,64,80,16,256,10381842,40.5541,4040.0354094900395
BF16,SS,1,64,96,16,256,12429840,48.5541,4049.2563964732126
BF16,SS,1,64,112,16,256,14477842,56.5541,4055.868628446037
BF16,SS,1,64,128,16,256,16525841,64.5541,4060.841991445934
BF16,SS,1,64,256,16,256,32909841,128.5541,4078.345225862108
BF16,SS,1,128,64,16,256,12430310,48.5559,5398.808383739154
BF16,SS,1,128,80,16,256,13457592,52.5687,6233.367003559152
BF16,SS,1,128,96,16,256,14485838,56.5853,6949.083949364942
BF16,SS,1,128,112,16,256,15513840,60.6009,7570.052589978036
BF16,SS,1,128,128,16,256,16542350,64.6186,8113.577205324783
BF16,SS,1,128,256,16,256,32925343,128.6146,8152.853564058824
BF16,SS,2,128,64,16,256,6571574,25.6702,10211.996790052279
BF16,SS,2,128,80,16,256,7086888,27.6832,11836.781874927754
BF16,SS,2,128,96,16,256,7602888,29.6988,13240.13091438038
BF16,SS,2,128,112,16,256,7861416,30.7087,14938.828410189946
BF16,SS,2,128,128,16,256,8373673,32.7097,16028.517534553972
BF16,SS,2,128,256,16,256,16570893,64.7301,16199.2025348331
BF16,SS,2,256,64,16,256,11188208,43.7039,11996.366456998117
BF16,SS,2,256,80,16,256,11790901,46.0582,14228.953801928865
BF16,SS,2,256,96,16,256,12817893,50.0699,15706.682058482244
BF16,SS,2,256,112,16,256,14527891,56.7496,16167.585322187293
BF16,SS,2,256,128,16,256,16576395,64.7515,16193.848791147697
BF16,SS,2,256,256,16,256,32959893,128.7496,16288.60982869073
BF16,TS,1,64,64,16,256,8317969,32.4921,4033.9651792281816
BF16,TS,1,64,80,16,256,10366466,40.494,4046.0315108411123
BF16,TS,1,64,96,16,256,12414466,48.494,4054.274755639873
BF16,TS,1,64,112,16,256,14462466,56.494,4060.1833823060856
BF16,TS,1,64,128,16,256,16510466,64.494,4064.6261667752037
BF16,TS,1,64,256,16,256,32894468,128.494,4080.2527744486124
BF16,TS,1,128,64,16,256,8317839,32.4916,8068.054512550937
