Format,ABLayout,CTAGroup,M,N,K,PipelineDepth,Cycles,CyclesPerMMA,FLOPsPerCycle
BF16,TS,1,64,64,16,1,151549,151.549,864.8819853644695
BF16,TS,1,64,64,16,2,179549,89.7745,1460.0137009952714
BF16,TS,1,64,64,16,3,211424,70.4747,1859.8447386083233
BF16,TS,1,64,64,16,4,243674,60.9185,2151.595984799363
BF16,TS,1,64,64,16,5,276673,55.3346,2368.7168606983696
BF16,TS,1,64,64,16,6,308673,51.4455,2547.7835767948604
BF16,TS,1,64,64,16,7,341548,48.7926,2686.3089894779127
BF16,TS,1,64,64,16,8,373548,46.6935,2807.0716480880637
BF16,TS,1,64,64,16,9,405299,45.0332,2910.5637618468154
BF16,TS,1,64,64,16,10,437299,43.7299,2997.30847772348
BF16,TS,1,64,80,16,1,158548,158.548,1033.377904483185
BF16,TS,1,64,80,16,2,195423,97.7115,1676.7729489364096
BF16,TS,1,64,80,16,3,235423,78.4743,2087.817285404266
BF16,TS,1,64,80,16,4,275798,68.9495,2376.231879854096
BF16,TS,1,64,80,16,5,316673,63.3346,2586.8956305084425
BF16,TS,1,64,80,16,6,356673,59.4455,2756.137975120068
BF16,TS,1,64,80,16,7,397548,56.7926,2884.882889672246
BF16,TS,1,64,80,16,8,437423,54.6779,2996.457435270923
BF16,TS,1,64,80,16,9,477298,53.0331,3089.391342388056
BF16,TS,1,64,80,16,10,517298,51.7298,3167.226627591833
BF16,TS,1,64,96,16,1,165548,165.548,1187.6193007466113
BF16,TS,1,64,96,16,2,211423,105.7115,1859.8544150825596
BF16,TS,1,64,96,16,3,259423,86.4743,2273.6003645013607
BF16,TS,1,64,96,16,4,307798,76.9495,2555.0263484493075
BF16,TS,1,64,96,16,5,356673,71.3346,2756.137975120068
BF16,TS,1,64,96,16,6,404673,67.4455,2915.0647559881686
BF16,TS,1,64,96,16,7,453548,64.7926,3034.4205974139027
BF16,TS,1,64,96,16,8,501423,62.6779,3136.79941414757
